0,1,2,3,4,5,6,7,8
,Table 1 case fatality rate in saudi arabia adjusted by date of diagnosis,,,,,,,
Month,,Number of cases,,,Number of deaths,,Case fatality rate ×100,
,Male,Female,Total,Male,Female,Total,Number of deaths/,%
,,,,,,,total number of cases,
June 2013,12,5,17,8,3,11,11/17,64
July,5,7,12,5,0,5,5/12,41
august,4,3,7,2,0,2,2/7,29
september,7,10,17,5,3,8,8/17,47
October,7,3,10,2,1,3,3/10,30
november,4,1,5,1,2,3,3/5,60
December,7,1,11,2,0,2,2/11,18
January 2014,2,0,2,2,0,2,2/2,100
February,4,1,5,2,0,2,2/5,40
March,13,2,15,3,0,3,3/15,20
april,131,59,190,35,10,45,45/190,24
May,64,70,134,22,12,34,34/134,25
Total,260,162,425,89,31,120,120/425,28
%,62%,38%,100%,74%,26%,100%,,
