0,1,2,3,4
Chen et al,,,,Dovepress
Table 1 The prevalence of,,the respiratory pathogens and the analysis grouped by age,,
,Pathogens,Subjects (n=253),＜65 years (n=191),≥65 years (n=41)
Virus,IFA,26 (11.1%),20 (10.5%),6 (14.6%)
,IFB,9 (3.6%),6 (3.1%),3 (7.3%)
,PIVs,8 (3.2%),6 (3.1%),2 (4.9%)
,RhV,6 (2.4%),4 (2.1%),2 (4.9%)
,EV,4 (1.6%),4 (2.1%),0
,hMPV*,4 (1.6%),1 (0.5%),3 (7.3%)
,RSV,3 (1.2%),3 (1.6%),0
,ADV,1 (0.4%),1 (0.5%),0
,HCoV,1 (0.4%),0,1 (2.4%)
,All,62 (24.5%),45 (23.6%),17 (41.5%)
Atypical pathogens,Mycoplasm,44 (17.4%),43 (22.5%),1 (2.4%)
,pneumoniae*,,,
,Chlamydia pneumoniae*,1 (0.4%),1 (0.5%),0
,Legionella spp,0,0,0
,All,45 (17.8%),44 (23.0%),1
,●,,,
Bacteria,Streptococcus Pneumoniae,21 (8.3%),17 (8.9%),4 (9.8%)
,Haemophilus Inﬂuenzae,15 (6.2%),13 (6.8%),2 (4.9%)
,Klebsiella Pneumoniae,6 (2.4%),6 (3.1%),0
,●,,,
,Streptococcus Pyogenes,1 (0.4%),1 (0.5%),0
,Moraxella Catarrhalis,1 (0.4%),1 (0.5%),0
,Pseudomonas Aeruginosa,1 (0.4%),1 (0.5%),0
,Staphylococcus Aureus,0,0,0
,Escherichia Coli,0,0,0
,All,45,39,6
Note: *P<0.05.,,,,
