0,1,2,3,4,5,6,7,8,9,10
,D,,,,C,,,B,,A
Mock,,,,,,,,,,
,,,,,,,,,mock,
,,,,,,αIRF3,,,,
IRF3(5D),,,,,,,,,,
,,,,,,,,,PLP,
,,αIRF3,,,,αFlag,mock,,,
IRF3(5D)+PLpro,,,,,,,,,,
,,,,,,,,,IRF3,
,,αFlag,,+,IRF3,,,,,
PLpro,,,PLpro/HA,,,αIgG,,,,
,,αIgG,,,,,,,IRF3(5D),
,,,,,,αIRF3,,,,
,,αIRF3,,,,,,,IRF3+PLpro,
Mock,,,,,,αFlag,PLpro,,,
,,αFlag,,,,,,,,
,,,PLpro/HA,+,IRF3(5D),,,,,IRF3(5D)+PLpro
IRF3(5D),,,,,,,,,,
,,,,,,αIgG,,,,
,,αIgG,,,,,,,,
IRF3(5D)+PLpro,,,,,,,,,,
,,,,,,αIRF3,,,,
PLpro,,,,,,,,,,
,,,,,,αFlag,IRF3,,,
,,,,,,αIgG,,,,
,,,,,,αIRF3,,,,
,,,,,,αFlag,IRF3(5D),,,
,,,,,,αIgG,,,,
