0,1,2,3,4,5,6,7
,Bacterial,Atypical,Viral CAP,,Odds ratio (95%,Positive predictive,Negative predictive
Characteristic [n (%)]*,CAP (n = 75),CAP (n = 20),(n = 52),p value**,confidence interval)***,value (%)****,value (%)****
,,,,BA < 0.001,BA 0.05 (0.01–0.24),,
Crackles on auscultation,24 (32.0),18 (90.0),41 (78.8),AV 0.330,AV 2.46 (0.49–12.02),28.9,20.3
,,,,BV < 0.001,BV 0.13 (0.06–0.29),,
,,,,BA 0.392,BA 0.49 (0.11–2.17),,
Wheezes on auscultation,6 (8.0),3 (15.0),22 (42.3),AV 0.051,AV 0.24 (0.06–0.92),19.4,40.5
,,,,BV < 0.001,BV 0.12 (0.04–0.32),,
,,,,BA 0.073,BA 2.88 (0.99–8.40),,
Chest/abdominal pain,37 (55.2),6 (30.0),5 (12.5),AV 0.155,AV 3.00 (0.79–11.45),77.1,62.0
,,,,BV < 0.001,BV 8.63 (3.01–24.76),,
,,,,BA 0.410,BA 1.88 (0.57–6.24),,
Diminished breath,,,,,,,
,24 (32.0),4 (20.0),7 (13.5),AV 0.485,AV 1.61 (0.42–6.23),68.6,54.5
sounds,,,,,,,
,,,,BV 0.021,BV 3.03 (1.19–7.69),,
,,,,BA 0.179,BA 4.75 (0.59–38.36),,
Bronchial breathing,15 (20.0),1 (5.0),0 (0.0),AV 0.278,AV 3.74 (2.54–5.39),93.8,54.2
,,,,BV < 0.001,BV 1.87 (1.57–2.22),,
,,,,BA 0.032,BA 0.21 (0.06–0.83),,
Need of additional,,,,,,,
,5 (6.7),5 (25.0),27 (51.9),AV 0.063,AV 0.31 (0.10–0.97),13.5,36.4
oxygen,,,,,,,
,,,,BV < 0.001,BV 0.07 (0.02–0.19),,
Characteristic [median (IQR)],,,,,,,
,,,,BA 0.006,,,
Age (months),42 (38),85 (76),26 (27),AV < 0.001,,,
,,,,BV < 0.001,,,
,,,,BA < 0.001,,,
WBC count (x 109/L),22.1 (11.7),10.8 (4.6),13.7 (10.6),AV 0.98,,,
,,,,BV < 0.001,,,
,,,,BA < 0.001,,,
CRP (mg/dL),149 (103),17.5 (37),44 (79),AV 0.053,,,
,,,,BV < 0.001,,,
