0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,Period 1,,,,,Period 2,,,,,,,Period 3,,,
Infectious disease,,,,,,,,,,,,,,,,,,
,,,(2003–2008),,,,,(2009–2012),,,,,,,(2013–2017),,,
,Number,D1X,D3,D6,Number,D1X,Diffa,D3,Diffa,D6,Diffa,Number,D1X,Diffa,D3,Diffa,D6,Diffa
Mumps,NR,NA,NA,NA,"1,657",9,NA,0,NA,0,NA,445,9,NA,0,NA,0,NA
Botulism,10,9.5,0b,0,2,25.5,16,0,0,0,0,2,17,7.5,1,1,"0,5",0.5
Brucellosis,35,31,2.5c,1,12,38,7,1,−1.5,0.5,−0.5,23,55,24,0,−2.5,0,−1
Cholera,17,13,0b,0,10,8.5,−4.5,0,0,0.5,0.5,5,9,-4,0,0,0,0
Diphtheria,0,NA,NA,NA,2,23.5,NA,0,NA,0,NA,8,16,NA,0,NA,0,NA
Group A streptococcal,,,,,,,,,,,,,,,,,,
,NR,NA,NA,NA,839,4,NA,0,NA,0,NA,972,4,NA,0,NA,0,NA
disease,,,,,,,,,,,,,,,,,,
Hantavirus disease,NR,NA,NA,NA,57,22.5,NA,0,NA,0,NA,130,19,NA,1,NA,0,NA
Hepatitis A,"1,500",8,0b,0,683,8,0,0,0,0,0,703,6,−2a,0,0,0,0
Hepatitis B,"1,401",11,2b,1,655,12,1,1,−1,0,−1a,520,11,0,0,−2a,0,−1a
Invasive Haemophilus,,,,,,,,,,,,,,,,,,
influenzae type b,NR,NA,NA,NA,86,6,NA,0,NA,0,NA,109,"6,5",NA,0,NA,0,NA
disease,,,,,,,,,,,,,,,,,,
Invasive pneumococcal,,,,,,,,,,,,,,,,,,
,NR,NA,NA,NA,191,5,NA,1,NA,0,NA,188,5,NA,0,NA,0,NA
disease,,,,,,,,,,,,,,,,,,
Legionellosis,"1,759",6,0c,0,"1,347",6,0,0,0,0,0,"2,091",6,0,0,0,0,0
Leptospirosis,172,23,6c,1,122,19,−4,3,−3a,0,−1a,385,14,−9a,1,−5a,0,−1a
Listeriosis,NR,NA,NA,NA,279,6,NA,0,NA,0,NA,430,5,NA,0,NA,0,NA
