0,1,2,3,4
factor for the acquisition of HIV-1.,,,,
,Table 5. Summary data on the aptamers selected against HPV and HSV discussed herein.,,,
Virus,Name,DNA/RNA,Target,References
,F2 and F4,RNA,E6,[121]
,G5α3N.4,RNA,E7,[122]
,Sc5-c3,RNA,HPV-16 L1 virus-like particles (VLPs),[123]
HPV,,DNA,HPV-transformed cervical cancer cells,[124]
,A2,RNA,E7,"[125,126]"
,,,HPV-16 E6/E7-human tonsillar,
,,RNA,,[127]
,,,epithelial cells (HTECs),
,GC-rich RNA aptamer,RNA,ICP27,[129]
,aptamer-1 and aptamer-5 mini-1,,,
HSV,,RNA,gD protein,[130]
,aptamer (44-mer),,,
,G7a,RNA,gD protein,[131]
