0,1,2,3,4,5,6,7,8,9,10
Seroconversion and low dose FeLV exposure,,,,,,,,Vet. Res.,(2010) 41:17,
Table I.,Indirect FL-74 FOCMA immunoﬂuorescence pre- and post-exposure test,,,,,,,,to low FeLV doses.,
Numbers of,,the titre column represent,,"the antibodies titre, numbers in the groups columns represent",,,,,,the
,number of cats with the respective titre.,,,,,,,,,
Titre,Negative control,,,Group 1K,,,Group 10K,,Group 100K,
,Week 0,Week 20,Week 0,,Week 20,Week 0,Week 20,Week 0,,Week 20
Negative,7,7,7,,7,7,3,7,3,
1:4,0,0,0,,0,0,2,0,3,
1:16,0,0,0,,0,0,2,0,0,
1:64,0,0,0,,0,0,0,0,1,
