0,1,2,3,4,5
Kenmoe et al.,,,,,
,Table 1. Demographic and clinical characteristics of all participants (N = 347),,,,
,,,Respiratory viruses detected,,
,SARI recruited,Negative samples,,,
Characteristics,(n = 347),(n = 120),"Total
(n = 227)",1 (n = 160),>1 (n = 67)
Sex,,,,,
Male,180 (51(cid:1)9),61 (50(cid:1)8),119 (52(cid:1)4),85 (53(cid:1)1),34 (50(cid:1)8)
Female,167 (48(cid:1)1),59 (49(cid:1)2),108 (47(cid:1)6),75 (46(cid:1)9),33 (49(cid:1)2)
Age,,,,,
≥ 1 Year,131 (37(cid:1)8),43 (35(cid:1)8),88 (38(cid:1)8),59 (36(cid:1)9),29 (43(cid:1)3)
[1–2] years,100 (28(cid:1)8),32 (26(cid:1)7),68 (30(cid:1)0),50 (31(cid:1)2),18 (26(cid:1)9)
[2–5] years,76 (21(cid:1)9),26 (21(cid:1)7),50 (22(cid:1)0),35 (21(cid:1)9),15 (22(cid:1)4)
[5–15] years,40 (11(cid:1)5),19 (15(cid:1)8),21 (9(cid:1)2),16 (10(cid:1)0),5 (7(cid:1)4)
Symptoms,,,,,
Cough,298 (85(cid:1)9),99 (82(cid:1)5),199 (87(cid:1)7),137 (85(cid:1)6),62 (92(cid:1)5)
Rhinorrhea,272 (78(cid:1)4),89 (74(cid:1)2),183 (80(cid:1)6),129 (80(cid:1)6),54 (80(cid:1)6)
Fatigue,201 (57(cid:1)9),60 (50),141 (62(cid:1)1),104 (65(cid:1)0),37 (55(cid:1)2)
Wheezing,145 (41(cid:1)8),49 (40(cid:1)8),96 (42(cid:1)3),67 (41(cid:1)9),29 (43(cid:1)3)
Vomiting,131 (37(cid:1)8),42 (35),89 (39(cid:1)2),63 (39(cid:1)4),26 (38(cid:1)8)
Diarrhea,100 (28(cid:1)8),37 (30(cid:1)8),63 (27(cid:1)8),46 (28(cid:1)8),17 (25(cid:1)4)
Sore throat,75 (21(cid:1)6),39 (32(cid:1)5),36 (15(cid:1)9),26 (16(cid:1)3),10 (14(cid:1)9)
Headache,46 (13(cid:1)3),23 (19(cid:1)2),23 (10(cid:1)1),21 (13(cid:1)1),2 (3(cid:1)0)
Conjunctivitis,36 (10(cid:1)4),12 (10),24 (10(cid:1)6),185 (11(cid:1)3),6 (9(cid:1)0)
Arthralgia,29 (8(cid:1)4),12 (10),17 (7(cid:1)5),16 (10(cid:1)0),1 (1(cid:1)5)
Cutaneous rash,26 (7(cid:1)5),11 (9(cid:1)2),15 (6(cid:1)6),14 (8(cid:1)8),1 (1(cid:1)5)
Myalgia,17 (4(cid:1)9),10 (8(cid:1)3),7 (3(cid:1)1),6 (3(cid:1)8),1 (1(cid:1)5)
Earache,13 (3(cid:1)7),5 (4(cid:1)2),8 (3(cid:1)5),6 (3(cid:1)8),2 (3(cid:1)0)
