0,1,2,3,4,5,6,7
Table 3 Comparison of VIRsiRNApred with existing siRNA efficacy prediction algorithms developed using,,,,,,,
heterogeneous siRNA dataset,,,,,,,
S.no,Reference,Url,Technique,siRNA,,Pearson correlation coefficient*,
,,,,data set,,,
,,,,,Train1,Val2,V345#
1,[34],NA,"GPBoost, SVM",581,0.46,0.40,Server not available
2,[37],NA,ANN,653,0.55,0.50,Server not available
3,[32],http://biodev.extra.cea.fr/DSIR/DSIR.html,linear,653,0.48,0.44,Server not working
4,[36],NA,linear,526,0.55,0.52,Server not available
5,[38],http://www.med.nagoya-u.ac.jp/,linear,419,0.51,0.44,Server not working
,,neurogenetics/i_Score/i_score.html,,,,,
6,[46],http://www.imtech.res.in/raghava/,SVM,581,0.56,0.47,0.10
,,sirnapred,,,,,
7,VIRsiRNApred,http://crdd.osdd.net/servers/virsirnapred/,SVM,1380,0.58,0.55,0.55
*Pearson Correlation Coefficient (PCC),,,is the correlation between experimental and predicted viral siRNA efficacy.,,,,
