0,1,2,3,4,5
,,,GMT:,Pain at the injec-,
rVSV,Group 1 (3 × 105 PFU),EBOV,,,[44]
,,,Group 1: 344.5 (Day 28),tion site,
,,,GMT:,,
,Group 1 (3 × 106 PFU),,,Pain at the injec-,
rVSV,,EBOV,"Group 1: 1,300 (Day 28)",,[25]
,Group 2 (2 × 107 PFU),,,tion site,
,,,"Group 2: 4,079 (Day 28)",,
,,,,Pain at the injec-,
rVSV,Group (2 × 107 PFU),EBOV,−,,[26]
,,,,tion site,
,Group 1 (2.0 mg),,,,
DNA,Group 2 (4.0 mg),EBOV; SUDV,−,Local reactions,[15]
,Group 3 (8.0 mg),,,,
,Priming:,,,,
,Group (4.0 mg),EBOV; SUDV;,GMT:,Pain at the injec-,
DNA,,,,,[45]
,Boosting:,MARV,Group: 31.8 (Day 28),tion site,
,Group (4.0 mg),,,,
,,EBOV; SUDV;,GMT:,Pain at the injec-,
DNA,Group (4.0 mg),,,,[46]
,,MARV,Group: 31.0 (Day 28),tion site,
,Group 1:,,,,
,Priming,,Group 1:,,
,VSV 1.25 × 107 PFU,,33.51 (Day 21),,
,Boosting,,343.1 (Day 28),,
,Ad 1.25 × 1011 vp,,"2,540 (Day 42)",Pain at the injec-,
VSV+Ad5,,EBOV,,,[40]
,Group 2:,,Group 2:,tion site,
,Priming,,55.49 (Day 21),,
,VSV 2.5 × 107 PFU,,"1,230 (Day 28)",,
,Boosting,,"3,277 (Day 42)",,
,Ad 2.5 × 1011 vp,,,,
