0,1,2,3,4,5,6,7,8,9,10,11,12
Table 5 Genetic analysis of Thai CaKoVs compared with reference CaKoVs at putative amino acid cleavage sites,,,,,,,,,,,,
Viruses,Year,Country,,Amino acid position,,,,,,,,
,,,171/172,553/554,776/777,1054/1055,1165/1166,1330/1331,1665/1666,1759/1760,1786/1787,2176/2177
CU-53,2016,Thailand,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
CU-101,2016,Thailand,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
CU-249,2017,Thailand,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
CU-716,2018,Thailand,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
12D049,2012,Korea,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
UK003,2008,UK,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
26/BRA,2016,Brazil,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
SMCD-59,2015,China,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
CE9,2012,Australia,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
B103,2010,Africa,Q/G,Q/H,Q/Ta,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
75,2011,Africa,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
82,2010,Africa,Q/G,Q/H,Q/Ta,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
DD2,2003,Africa,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
US-PC0082,2010,USA,Q/G,Q/H,Q/A,Y/V,Q/G,Q/G,Q/G,Q/A,Q/G,Q/G
aQ/T unique cleavage site (only found in Africa isolates),,,,,,,,,,,,
