0,1,2,3,4,5,6,7,8,9,10,11,12,13
"DQ160294(NTU2/R),  DQ848678(C1Je),  NC_007025(WSU-79/1146),  X80799(WSU-",,,,,,,,,,,,,
"79/1683), and DQ112226(CCoV).",,,,,,,,,,,,,
FIPV,,,,,,,,,,,,,
,UCD11,,,,,,,,,,,,
isolate,,,,,,,,,,,,,
UCD12,98,UCD12,,,,,,,,,,,
UCD13,100,98,UCD13,,,,,,,,,,
UCD14,100,98,100,UCD14,,,,,,,,,
UCD15,90,88,90,90,UCD15,,,,,,,,
UCD16,88,88,88,88,84,UCD16,,,,,,,
UCD17,88,88,88,88,90,87,UCD17,,,,,,
UCD18,94,94,94,94,90,90,90,UCD18,,,,,
aC1Je,91,90,91,91,90,88,91,90,C1Je,,,,
aNTU2/R,94,92,94,94,91,88,88,94,91,NTU2/T,,,
aBlack,90,90,90,90,87,87,87,91,87,91,Black,,
b79/1146,68,68,68,68,68,65,67,68,67,68,65,79/1146,
b79/1683,70,70,70,70,70,64,68,70,68,70,67,95,79/1683
cCCoV,68,68,68,68,68,62,67,68,67,68,65,92,97
