0,1,2,3,4,5,6
Compound,R1,R2,R3,R4,R5,R6
1,H,H,H,OH (R),OH (S),H
2,H,H,H,OH (R),OH (R),H
3,H,H,OH (R),OH (R),OH (S),H
4,OH,H,H,OH (R),OH (R),H
5,OH,H,H,OH (R),H,H
6,OH,H,H,OH (R),H,OH
7,OH,OH,H,OH (R),H,OH
8,OH,OH,H,OH (R),H,H
9,OH,OH,H,OH (R),O-xylp (S),OH
10,OH,H,H,OH (R),O-apif (1→6)glcp,H
11,OH,H,H,O-xylp (R),H,H
12,OH,OH,H,O-xylp (R),H,OH
13,OH,OH,H,O-xylp (R),H,H
14,OH,OH,H,O-glcp (R),H,OH
15,OH,H,H,O-glcp (R),H,OH
16,OH,OH,H,O-glcp (R),H,H
17,OH,H,H,O-glcp (R),OH,H
18,OH,H,H,O-glcp (R),H,H
19,OH,H,H,O-apif (1→6)glcp (R),H,H
20,OH,H,H,O-araf (1→6)glcp (S),H,H
21,OH,H,H,O-araf (1→6)glcp (R),H,H
22,OH,OH,H,O-glcp(1→3)xylp (R),H,OH
23,OH,OH,H,O-apip(1→6)glcp (R),H,H
24,OH,OH,H,O-rhap(1→6)glcp (R),H,H
25,OH,H,H,O-glcp(1→3)xylp (R),H,H
26,OH,OH,H,O-glcp-(E)-DMC (R),H,OH
27,OH,OH,H,O-glcp-(Z)-DMC (R),H,OH
28,OH,OH,H,O-glcp-(E)-TMC (R),H,OH
