0,1,2,3,4,5
Table 1 Questionnaire survey results of,,the 512 TB suspects identified from the TB prevalence survey in,,,
"Shandong, China",,,,,
,Sputum positive cases (%),Bacteriologically confirmed cases (%),All cases (%),Non-TB cases (%),Total
Total,11 (2),19 (4),172 (34),340 (66),512
Age,,,,,
15-64 years old,5 (45),10 (53),73 (42),147 (43),220 (43)
65 years and older,6 (55),9 (47),99 (58),193 (57),292 (57)
Occupation,,,,,
Government,1 (9),1 (5),9 (5),30 (9),39 (8)
Sales persons,0,1 (5),7 (4),12 (4),19 (4)
Migrant workers,0,2 (11),14 (8),26 (8),40 (8)
Farmers,7 (64),10 (53),80 (47),136 (40),216 (42)
Jobless,3 (27),5 (26),49 (28),91 (27),140 (27)
Others,0,0,13 (8),45 (13),58 (11)
Education,,,,,
Illiterate,4 (36),8 (42),82 (48)a,126 (37),208 (41)
Under high school,6 (55),8 (42),80 (47),159 (47),239 (47)
High school and above,1 (9),3 (16),10 (6)b,55 (16),65 (13)
Smoking status,,,,,
Smokers,5 (45),7 (37),56 (33),102 (30),158 (31)
Non smokers,6 (55),12 (63),116 (67),238 (70),354 (69)
Per capita household income,3297,3374c,4971c,7272,6495
(RMB per year),,,,,
