0,1,2,3,4,5,6,7,8
,Table 1. Quantification of Recombinant Genomes in CaMV Populations,,,,,,,
Plant Numbera,,Proportion of Genomes in Each Recombinant Classb,,,,,,Total Proportion
,,,,,,,,of Recombinant Genomesc
,þbcd,aþcd,abþd,abcþ,aþcþ,aþþd,þþcd,
,aþþþ,þbþþ,þþcþ,þþþd,þbþd,þbcþ,abþþ,
2,4,12,4,8,2,8,10,48
4,16,10,0,4,4,4,10,48
5,6,12,2,6,2,4,12,44
6,18,14,2,10,2,4,6,56
7,20,12,4,2,4,2,16,60
9,16,8,2,14,6,2,10,58
12,26,12,4,2,0,6,10,60
17,18,10,6,10,0,4,10,58
20,18,4,4,12,2,6,14,60
23,18,4,4,6,0,8,6,46
Mean,16.0,9.8,3.2,7.4,2.2,4.8,10.4,53.8
Standard error,2.0,1.1,0.5,1.3,0.6,0.7,1.0,2.0
