0,1,2,3,4
Inﬂuenza strain,5,10,20,40
H1N1 (A ⁄ New Caledonia ⁄ 20 ⁄ 99),,,,
Tube 1,5451 ± 2078*,7169 ± 3100*,9760 ± 7596*,25 624 ± 7329
Tube 2,8647 ± 2861*,14 345 ± 3983*,24 970 ± 6314*,42 962 ± 14 161
Backup ﬁlter,7576 ± 1869*,13 924 ± 2530*,26 286 ± 11 716*,43 412 ± 7507*
Reference ﬁlter,n ⁄ a,n ⁄ a,58 279 ± 9174,100 964 ± 21 043
Collection efﬁciency,n ⁄ a,n ⁄ a,104.7%,110.9%
H3N2 (A ⁄ California ⁄ 7 ⁄ 2004),,,,
Tube 1,1106 ± 144*,2603 ± 1441*,2419 ± 1855*,8366 ± 2426
Tube 2,3113 ± 1398*,4618 ± 1414*,8793 ± 2964,12 530 ± 3829
Backup ﬁlter,2405 ± 1162*,4104 ± 1847*,7228 ± 1254*,12 369 ± 2716
Reference ﬁlter,n ⁄ a,n ⁄ a,15 961 ± 6017,29 225 ± 9331
