0,1,2,3,4
,,Table 2: Classification based on the similarity of rewriting rules.,,
,Isomorphic,Isomorphic,Isomorphic,Isomorphic
Classification of rules,,,,
,Depth #0,Depth #1,Depth #2,Depth #3
,,(8) 𝐶1 → 𝐶1𝐶1,(3) 𝐶1 → 𝐶1𝐶1,(1) 𝐶1 → 𝐶1𝐶1
,,(1) 𝐶1 → 𝐶1𝐶3,(1) 𝐶1 → 𝐶4𝐶2,(1) 𝐶1 → 𝐶4𝐶3
,(19) 𝐶1 → 𝐶1𝐶1,(1) 𝐶1 → 𝐶2𝐶2,(1) 𝐶1 → 𝐶7𝐶5,(1) 𝐶1 → 𝐶5𝐶2
,(4) 𝐶1 → 𝐶1𝐶2,(1) 𝐶1 → 𝐶2𝐶4,(1) 𝐶1 → 𝐶8𝐶8,
Class #1,,,,
,(4) 𝐶1 → 𝐶2𝐶1,,,
,,(1) 𝐶1 → 𝐶3𝐶1,(1) 𝐶1 → 𝐶3𝐶1,
,(20) 𝐶1 → 𝐶2𝐶2,,,
,,(1) 𝐶1 → 𝐶3𝐶3,(1) 𝐶1 → 𝐶8𝐶6,
,,(1) 𝐶1 → 𝐶4𝐶2,,
,,(5) 𝐶1 → 𝐶4𝐶4,,
Class #2,(48) 𝐶2 → null,(4) 𝐶2 → 𝐶4𝐶5,(1) 𝐶2 → 𝐶8𝐶10,(1) 𝐶2 → 𝐶8𝐶6
Class #3,,(4) 𝐶3 → 𝐶5𝐶4,(1) 𝐶3 → 𝐶9𝐶9,(1) 𝐶3 → 𝐶9𝐶7
Class #4,,(20) 𝐶4 → 𝐶5𝐶5,(1) 𝐶4 → 𝐶9𝐶11,(1) 𝐶4 → 𝐶12𝐶10
Class #5,,(48) 𝐶5 → null,(1) 𝐶5 → 𝐶10𝐶8,(1) 𝐶5 → 𝐶13𝐶11
Class #6,,,(1) 𝐶6 → 𝐶10𝐶10,(1) 𝐶6 → 𝐶13𝐶13
Class #7,,,(1) 𝐶7 → 𝐶11𝐶9,(1) 𝐶7 → 𝐶13𝐶15
Class #8,,,(5) 𝐶8 → 𝐶11𝐶11,(1) 𝐶8 → 𝐶14𝐶14
Class #9,,,(4) 𝐶9 → 𝐶11𝐶12,(1) 𝐶9 → 𝐶14𝐶16
Class #10,,,(4) 𝐶10 → 𝐶12𝐶11,(1) 𝐶10 → 𝐶15𝐶13
