0,1,2,3,4,5,6,7
,,R2,O,,,,
,,R3,,,,,
,,,"OH
O",,,,
Compound,R1,,R2,R3,,R4,R5
138,H,,"OH
OH","H
H",H,"H
OH",H
149,H,,OH,H,,H,OH
,,,OH,H,OH,OCH3,
140,H,,OH,H,,OH,OCH3
,,,OH,H,H,OCH3,
141,H,,OH,H,,H,OCH3
,,,OCH3,H,H,H,
142,H,,OCH3,H,,H,H
,,,OCH3,H,H,OH,
143,H,,OCH3,H,,H,OH
,,,OCH3,H,OH,OCH3,
144,H,,OCH3,H,,OH,OCH3
,,,OCH3,H,OCH3,OH,
145,H,,OCH3,H,,OCH3,OH
,,OCH3,OCH3,OCH3,H,H,
146,OCH3,,OCH3,OCH3,,H,H
147,H,,OCH3,OCH3,H,"OCH3 
H",
,,,OCH3,OCH3,,,OCH3
148,H,,"O-glcp-glcp
O-glcp-glcp","H
H",H,"H
OH",OH
149,H,,"OH
OH","H
H",H,"H
O-glcp-glcp",O-glcp-glcp
150,H,,OCH3,H,,H,OCH3
,,,OCH3,H,H,OCH3,
151,H,,OH,OCH3,,H,OCH3
,,,OH,OCH3,H,OCH3,
152,H,,OH,H,,OH,OH
,,,OH,H,OH,OH,
153,H,,O-glc,H,,OH,OH
,,,O-glc,H,OH,OH,
