0,1,2,3,4,5,6,7,8,9,10,11,12,13
Table 2 Nucleotide content of 28 PCV genomes,,,,,,,,,,,,,
No,A%,U%,G%,C%,A3%,U3%,G3%,C3%,GC%,GC3%,ENC,Gravy,Aromo
1,24.56,27.00,28.99,19.44,28.32,27.50,23.40,20.01,48.44,43.41,55.76,-0.233824,0.134191
2,24.45,26.95,28.88,19.73,27.47,28.00,25.10,20.00,48.61,45.10,56.45,-0.107513,0.109123
3,24.50,26.83,28.94,19.74,28.49,27.10,23.20,20.00,48.66,43.20,56.13,-0.239154,0.134191
4,24.39,26.78,28.99,19.84,19.79,31.20,28.50,20.00,48.83,48.50,56.52,-0.18045,0.107266
5,24.45,26.89,28.94,19.73,28.49,27.30,23.20,20.02,48.66,43.22,55.74,-0.246507,0.130515
6,24.45,27.00,28.99,19.56,28.15,27.50,23.40,20.00,48.55,43.40,56.21,-0.239338,0.134191
7,24.56,26.89,28.99,19.56,28.32,27.50,23.40,20.01,48.49,43.41,56.3,-0.230092,0.13211
8,24.45,27.06,28.94,19.56,28.15,27.50,23.40,20.01,48.49,43.41,55.97,-0.221771,0.132841
9,24.50,26.89,28.99,19.61,19.96,31.60,28.20,20.00,48.61,48.20,56.16,-0.184256,0.108997
10,25.57,25.90,28.11,20.24,26.48,24.60,27.70,20.00,48.53,47.70,57.36,-0.188909,0.100179
11,25.62,25.90,28.00,20.84,24.44,25.00,28.90,20.00,48.47,48.90,56.87,0.097557,0.08377
12,25.30,25.98,28.35,20.32,25.00,25.00,28.90,20.00,48.67,48.90,57.64,0.102817,0.09507
13,25.85,25.57,28.45,20.14,24.95,24.80,28.90,20.05,48.59,48.95,57.18,0.055789,0.091228
14,25.51,26.07,28.00,20.42,26.48,24.40,27.80,20.00,48.42,47.80,57.33,-0.173298,0.098566
15,25.57,25.96,28.05,20.42,25.97,26.10,29.50,20.00,48.47,49.50,57.37,-0.1475,0.089286
16,25.57,26.07,28.00,20.36,26.65,24.40,27.80,20.00,48.36,47.80,57.8,-0.175269,0.102151
17,25.51,25.96,28.11,20.24,28.18,22.20,31.40,20.00,48.53,51.40,55.32,-0.247464,0.119565
18,25.57,26.19,27.94,20.31,32.42,25.50,28.40,20.00,48.25,48.40,56.1,0.119264,0.085814
19,25.53,26.12,28.62,20.36,28.35,22.10,31.20,20.02,48.42,51.22,55.53,-0.219601,0.117967
20,25.92,25.30,27.50,21.28,25.29,25.0,27.80,20.00,48.78,47.80,58.67,0.044658,0.084063
21,25.35,25.98,28.30,20.73,24.95,25.10,22.80,20.00,48.67,42.80,57.64,0.096485,0.093146
22,25.41,25.69,28.47,20.43,24.44,25.10,29.00,20.00,48.90,49.00,57.56,0.052539,0.087566
23,25.35,26.03,28.24,20.37,24.95,25.10,28.90,20.02,48.61,48.92,57.7,0.1,0.093146
24,25.41,25.98,28.18,20.43,27.67,22.90,30.60,20.00,48.61,50.60,56.08,-0.276311,0.113924
25,24.34,26.54,28.81,20.32,26.48,28.20,23.60,20.01,49.12,43.61,57.44,-0.089698,0.106572
26,24.34,26.54,28.81,20.32,26.48,28.20,23.60,20.00,49.12,43.60,57.44,-0.089698,0.106572
27,25.30,26.15,28.24,20.32,24.95,25.10,28.90,20.00,48.56,48.90,57.82,0.104921,0.096661
28,25.30,26.09,28.24,20.37,27.67,22.90,30.60,20.00,48.61,50.60,56.42,-0.257895,0.112523
