0,1,2,3,4,5,6,7
"5
1
10",2,3,4,5,6,"7
8","9
10"
"180
11
20",12,13,14,15,16,"17
18","20
19    A2"
,,,,,,,A2
"0
21
30",22,23,24,25,26,"27
28","29
30"
,,,,,,,40
"55
31
40",32,33,34,35,36,"37
38",39
,,,,,,,B44
,42,,,,,,49
"210
41
50",,43,44,45,46,"47
48",50
,A2,,,,,,A2
"55
51
60",52,53,54,55,56,"57
58","59
60"
,,,,,66,67,69
"3310
61
70",62,63,64,65,,68,70
,,,,,,B27,A2
,,,,,B27,,
"15
71
80",72,73,74,75,76,"77
78","79
80"
"0
81
90",82,83,84,85,86,"87
88","89
90"
91,92,,,,,,
"175
100",,93,94,95,96,"97
98","99
100"
A2,A2,,,,,,
