0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,Human Rhinovirus Recombination,,
,Table 4. Comparative study of HRV genomes and individual proteins.,,,,,,,,,,,,,,,,
,,Genome,,,,,,,,,,,,,,,
Strain,Species,length,59 UTR,39UTR,ORF,,Viral proteins,,,,,,,,,,No Genbank
,,,,,,VP4,VP2,VP3,VP1,2A,2B,2C,3A,3B,3C,3D,
,,(nt),(nt),(nt),(aa),(aa),(aa),(aa),(aa),(aa),(aa),(aa),(aa),(aa),(aa),(aa),
R44,A,7123,612,49,2154,69,266,238,281,142,95,322,77,21,183,460,DQ473499
N13a,A,7136,612,50,2158,69,265,238,286,142,95,322,77,21,183,460,CQ223229
R14,B,7212,628,47,2179,69,262,236,289,146,97,330,85,23,182,460,K02121
R52,B,7216,624,43,2183,69,262,236,293,146,97,330,85,23,182,460,FJ445188
N10a,C,7111,641,43,2143,67,262,235,272,142,99,326,75,22,183,460,CQ223228
N4a,C,7107,619,44,2148,67,262,236,276,142,99,326,75,22,183,460,CQ223227
C024,C,7099,615,52,2144,67,261,235,274,142,99,326,75,22,183,460,EF582385
C025,C,7114,616,42,2152,67,264,239,275,142,99,326,75,22,183,460,EF582386
C026,C,7086,611,49,2142,67,262,233,275,142,97,325,76,22,183,460,EF582387
aStrains of,this study.,,,,,,,,,,,,,,,,
,nt: nucleotides; aa: amino acids; ORF: open reading frame; UTR: untranslated region.,,,,,,,,,,,,,,,,
,doi:10.1371/journal.pone.0006355.t004,,,,,,,,,,,,,,,,
