0,1,2,3,4,5,6,7,8,9,10
,TABLE 5 Taxonomic families and species from which the analyzed samples were obtaineda,,,,,,,,,
,No. of,isolates,,,,,,,,
,,Tissue type,,,,,,Age,Location,
Family and species,Sp,Bl,Br,LN,In,Li,SG,"Adult
Suba","ND
SNP
NPA","ND
Total tested"
Canidae,,,,,,,,,,
Wild dog,11,3,3,3,,,,,"20
1
9","10
20"
Bat-eared fox,10,,2,1,1,1,,"9
2","4
14
1",15
BBJ,5,4,2,1,1,1,1,11,"4
13","2
15"
Aardwolf,1,,,,,,,1,1,1
Felidae,,,,,,,,,,
Lion,13,25,,3,1,2,,"23
4","17
41
1","2
44"
Cheetah,3,,2,,1,,,"4
1","1
6",6
Leopard,1,,,,,,,1,1,1
Serval,1,,,,,,,1,1,1
Hyaenidae,,,,,,,,,,
Spotted hyena,8,8,7,6,2,1,,"13
9","10
30
1","1
32"
Striped hyena,,,1,1,,,,2,"1
1",2
Viverridae,,,,,,,,,,
African civet,5,,,,,,,5,4,"1
5"
Genet,3,,,,,,,2,"1
1
1","1
3"
Herpestidae,,,,,,,,,,
Mongoose,2,,2,,2,1,,"5
2","5
1","1
7"
