0,1,2,3,4,5,6
,,,Table 1a. Cont.,,,
,,,,Type,,
Kingdom,Class,Order,Family,,Example of Viral Families,Ref.
,,,,Arthropod,,
,,,Simuliidae,Black fly,not documented,
,,,Tabanidae,Horse fly,"Bunyaviridae (LACV, JCV)","[40,41]"
,,,,,"Bunyaviridae (SFNV, TOSV)",
,,,Psychodidae,Sand fly,,"[31,42–46]"
,,,,,"Flaviviridae, Rhabdoviridae",
,,,Muscidae,Tsetse fly,not documented,
Arthropoda,Insecta,Diptera,,,"Flaviviridae (WNV, YFV,",
,,,,,"DENV), Togaviridae (CHIKV,",
,,,Culicidae,Mosquito,,[47–50]
,,,,,"ONNV), Bunyaviridae",
,,,,,"(RVFV, NRIV)",
,,,,Biting,"Bunyaviridae (OROV, RVFV,",
,,,Ceratopogonidae,,,[51–53]
,,,,midge,CCHFV),
,"Abbreviations:  Tick-Borne  Encephalitis  virus  (TBEV),  Omsk  Hemorrhagic  Fever  virus  (OHFV),  Colorado",,,,,
