0,1,2,3,4
,,No (need to take renovation actions),0,1–2
,,Renovation,,
,,Renovation level,Cost (per unit),Improved score
,,strategies,,
Water,7. What are the,,,
,current tap types,Low level,,
Efﬁciency—Water,,,,
,,1. Tap with,,
,,solutions for,100 per each,1
use reduction,inside facility?,,,
,,water-efﬁciency,,
,,renovation,,
,,Medium level,,
,,2. Tap with,,
,,solutions for,140 per each,1.5
,,automatic sensor,,
,,renovation,,
,,High level,,
,,"3. Install “1” + “2”
solutions for",200 per each,2
,,renovation,,
