0,1,2,3,4
,,m,k,
,,X,X,
,min t0 ¼,oiai þ,nhdh,
,,i¼1,h¼1,
,,q,,
,,X,"s
X",
,,slbl þ,mrcr ¼ 1,
,,l¼1,r¼1,
,,n,,
,,X,,
,,"xD
ij zj ¼ aixD","ði ¼ 1; 2; . . . ; mÞ
i0",
,,j¼1,,
,,n,,
,,X,,
,,"xI
ljzj ¼ blxI","ðl ¼ 1; 2; . . . ; qÞ
l0",
,,j¼1,,
,8>>>>>>>>>>>>>>>>>>>>>>>>>>>< >>>>>>>>>>>>>>>>>>>>>>>>>>>:,n,,
,,X,,
s:t:,,,,ð8Þ
,,"yG
rjzj ¼ cryG","ðr ¼ 1; 2; . . . ; sÞ
r0",
,,j¼1,,
,,n,,
,,X,,
,,"yB
hjzj ¼ dhyB","ðh ¼ 1; 2; . . . ; kÞ
h0",
,,j¼1,,
,,n,,
,,X,,
,,zj ¼ t,,
,,j¼1,,
,,,zj (cid:21) 0; 0 (cid:20) ai (cid:20) t; bl (cid:21) t; cr (cid:21) t; 0 (cid:20) dh (cid:20) t t > 0 ð8j; i; l; r; hÞ,
