0,1,2,3,4,5,6,7
Table 5,,,,,,,
GC-MS spectrum of T. asiatica acetone extract.,,,,,,,
S.,Peak,Compound name,Nature of the,Molecular,Molecular,Biological activities,References
No,area,,compound,weight,formula,,
1,23.580,Tetracontane,Alkane,618,C44H90,Hypoglycaemic and Antioxidant activity,Arora and Saini
,& 2,,,,,,(2017)
,3.775,,,,,,
2,25.547,2-,,352,C25H52,Free radical scavenging,Arora and Kumar
,,Methyltetracosane,,,,,(2017)
3,25.722,Eicosane,Alkane,282,C20H42,"Antifungal, Antibacterial, Antitumor and",Arora and Saini
,,,,,,Cytotoxic,(2017)
