0,1,2,3,4,5,6
The Scientific World Journal,,,,,,11
,,Start,,,,
,,m = 1,,,,
m = m + 1,,,,,,
,,Input mth time series,,,,
,,Linear transference,,,,
,,Data preprocessing,,,,
,,Yes,,,,
,No,,,,,
,,,Deseasonalization and detrending,,,
,,Split series into estimation sample and hold-out,,,,
,,sample,,,,
,,Input selection,,,,
,,Multistep-ahead prediction,,,,
,,using,,,,
,,,,Iterated-,Direct-,
Iterated-,Direct-,Iterated-PSO-,Direct-PSO-,,,
,,,,ARIMA-,ARIMA-,
ARIMA,ARIMA,SVM,SVM,SVM(PSO),SVM(PSO),
,,m > M,,,,
,,"Calculate MAPEh, SMAPEh, and MASEh for each",,,,
,,prediction horizon and dataset,,,,
,No,,,,,
,,Repeated fifty times,,,,
,,,Yes,,,
,,Calculate the mean of each accuracy measure,,,,
,,Compare the quality of obtained results,,,,
,,Preform ANOVA and HSD test,,,,
,,End,,,,
,,Figure 3: Experiment procedure.,,,,
