0,1,2,3,4,5,6,7
Compound No.,,2D Chemical Structure,,,INSIDE,,OUTSIDE
,,,,,Free energy of binding,,Free energy of binding
,,,,,(kcal/mol),,(kcal/mol)
,,,,H3N2,2009-H1N1,H3N2,2009-H1N1
64,,,,−10.15,−10.49,−3.49,−3.72
,N,,CH3,,,,
,CH3,,,,,,
,,CH3,,,,,
65,,NH,,−9.03,−8.74,−5.55,−5.90
66,,NH,,−9.46,−9.27,−4.12,−5.28
,CH3,,,,,,
67,,,,−10.06,−9.72,−4.47,−3.54
,,,NH2,,,,
,CH3,,,,,,
68,,,,−9.92,−9.78,−4.13,−5.56
,,N,,,,,
,CH3,,,,,,
,,CH3,,,,,
69,,,,−10.31,−10.19,−3.75,−4.61
,N,,,,,,
,CH3,,,,,,
,,,CH3,,,,
70,,,,−10.62,−10.38,−3.57,−4.70
,N,,,,,,
,CH3,,,,,,
,,,CH3,,,,
71,,,,−8.30,−7.81,−5.66,−5.55
72,,N H,,−8.60,−8.11,−4.77,−4.77
,CH3,N H,,,,,
73,,,,−8.84,−8.76,−4.35,−4.26
,CH3,N,,,,,
,,CH3,,,,,
74,,,,−9.25,−9.04,−3.86,−3.89
,CH 3,N,,,,,
,,,CH 3,,,,
75,,,,−9.62,−9.25,−4.39,−3.78
