0,1,2,3,4,5,6,7
,,,,,,,Codon Usage in Chikungunya Viruses
Table 7. Cont.,,,,,,,
No,Strain Name,GenBank Accession,Length (bp),Year,Host,Country,Genotype
101,LKEHCH13908,FJ445426,11717,2008,Human,Sri Lanka,ECSA
102,LK(EH)CH17708,FJ513673,11710,2008,Human,Sri Lanka,ECSA
103,SGEHICHT077808,FJ445484,11790,2008,Human,Singapore,ECSA
104,RGCB356/KL08,GQ428215,11764,2008,Human,India,ECSA
105,RGCB355/KL08,GQ428214,11764,2008,Human,India,ECSA
106,SGEHICHS422308,FJ445432,11722,2008,Human,Singapore,ECSA
107,SGEHICHS421708,FJ445431,11722,2008,Human,Singapore,ECSA
108,SGEHICHD93508,FJ445430,11722,2008,Human,Singapore,ECSA
109,SGEHICHD96808,FJ445463,11729,2008,Human,Singapore,ECSA
110,SGEHICHS424108,FJ445443,11714,2008,Human,Singapore,ECSA
111,SGEHICHS422808,FJ445433,11729,2008,Human,Singapore,ECSA
112,SGEHICHS425208,FJ445445,11719,2008,Human,Singapore,ECSA
113,SGEHICHD122508,FJ445502,11717,2008,Human,Singapore,ECSA
114,CU-Chik10,GU301780,11811,2008,Human,Thailand,ECSA
115,SVUCTR-09,JN558834,11733,2009,Human,India,ECSA
116,SVUKDP-09,JN558836,11733,2009,Human,India,ECSA
117,CU-Chik661,GQ905863,11752,2009,Human,Thailand,ECSA
118,CU-Chik683,GU301781,11811,2009,Human,Thailand,ECSA
119,CU-Chik_OBF,GU908223,11670,2009,Mosquito,Thailand,ECSA
120,CU-Chik009,GU301779,11811,2009,Human,Thailand,ECSA
121,NL10/152,KC862329,11836,2010,Human,Indonesia,ECSA
122,GD05/2010,JX088705,11811,2010,Human,China,ECSA
123,GZ0991,JQ065890,11684,2010,Human,China,ECSA
124,GD113,HQ846357,11720,2010,Human,China,ECSA
125,GD139,HQ846358,11730,2010,Human,China,ECSA
126,GD115,HQ846356,11746,2010,Human,China,ECSA
127,GD134,HQ846359,11725,2010,Human,China,ECSA
128,GZ1029,JQ065891,11687,2010,Human,China,ECSA
129,CHI2010,JQ067624,11724,2010,Human,China,ECSA
130,NC/2011-568,HE806461,11621,2011,Human,New Caledonia,ECSA
131,V0603310_KH11_BTB,JQ861260,11743,2011,Human,Cambodia,ECSA
132,V1024311_KH11_PVH,JQ861256,11754,2011,Human,Cambodia,ECSA
133,V1024308_KH11_PVH,JQ861254,11750,2011,Human,Cambodia,ECSA
134,V1024314_KH11_PVH,JQ861258,11733,2011,Human,Cambodia,ECSA
135,V1024306_KH11_PVH,JQ861253,11745,2011,Human,Cambodia,ECSA
136,V1024310_KH11_PVH,JQ861255,11736,2011,Human,Cambodia,ECSA
137,V1024313_KH11_PVH,JQ861257,11755,2011,Human,Cambodia,ECSA
138,CHIKV-JC2012,KC488650,11889,2012,Human,China,Asian
139,Chik-sy,KF318729,12017,2012,Human,China,Asian
140,Wuerzburg,EU037962,11805,–,Human,Mauritius,ECSA
141,S27-African prototype,AF369024,11826,–,Human,–,ECSA
Dashes (2),,"indicates data not available. East Central South African, ECSA; Democratic Republic of Congo, DRC; Central African Republic, CAR; West African; WA.",,,,,
,doi:10.1371/journal.pone.0090905.t007,,,,,,
