0,1,2,3,4,5,6,7
Strain,Country,Year,Accession No.,Strain,Country,Year,Accession No.
PEDV-LYG,China,2014,KM609212,CV777,Europe,,JN599150
JS-HZ2012,China,2012,KC210147,Virulent DR13,South Korea,2009,DQ862099
YC2014,China,2014,KU252649,Attenuated_DR13,South Korea,,JQ023162
GD-A,China,2012,JX112709,SM98,South Korea,2010,GU937797
LZC,China,2006,EF185992,MF3809,South Korea,2008,KF779469
JS2008,China,2008,KC109141,Tottori2-JPN-2014,Japan,2014,LC022792
CHGD-01,China,2011,JX261936,SLO/JH-11/2015,Slovenia,2015,KU297956
PEDV-7C,China,2011,KM609204,PC21A,USA,2013,KR078299
GD-1,China,2011,JX647847,USA/Minnesota61/2013,USA,2013,KJ645705
AJ1102,China,2011,JX188454,USA/KS/2013,USA,2013,KJ184549
LC,China,2011,JX489155,USA/Minnesota52/2013,USA,2013,KJ645704
CH/CG/11,China,2011,JQ627654,PC177,USA,2013,KR078300
CH8,China,2011,JQ239436,USA/Iowa106/2013,USA,2013,KJ645695
AH2012,China,2012,KC210145,USA/Iowa107/2013,USA,2013,KJ645696
AH2012/12,China,2012,KU646831,TC PC177,USA,2013,KM392229
CH/GDGZ/2012,China,2012,KF384500,USA/IL20697/2014,USA,2014,KT860508
AH2012/12,China,2012,KU646831,USA/Michigan252/2014,USA,2014,KR265822
CH/AHHF-2/2012,China,2012,JX018182,USA/Texas435/2014,USA,2014,KR265834
FL2013,China,2013,KP765609,USA/Ohio126/2014,USA,2014,KJ645702
CH/JX-1/2013,China,2013,KF760557,OH851,USA,2014,KJ399978
SHQP/YM/2013,China,2013,KJ196348,USA/Iowa303/2014,USA,2014,KR265827
CH/HNAY/2015,China,2015,KR809885,JSCZ1601,China,2016,KY070587
Table 3.,Representative PEDV strains used in this study.,,,,,,
