0,1,2,3,4,5,6
,1967 Uganda -> Germany,,,,,
,2008 Uganda -> Netherlands,,,,,
,2000 COD,,,,,
,2012 COD,,,,,
LLOV,,,,,,
,2003 Spain (bats),,,,,
,2004   S. Sudan,,,,,
,1976 S. Sudan,,,,,
SUDV,1979   S. Sudan,Guinea,,,,
,,2013,,,,
,2012 Uganda,,,,,
,,,Cote d’Ivoire,,,South Sudan
,2012 Uganda,,,,,
,,,1994,,,1976 1979
,2000 Uganda,,,,,2004
,,,,,1977,Uganda
,2011 Uganda,,,,,"1976 
2012
2000"
RESTV,,,,1994 1996,,2012
,"1989 Philippines -> USA, Reston (monkeys)",,,,,2012 2011
,,,,1996 2001,2002 2003,2007
,1994  Côte d'Ivoire,,,,2014,Kenya
TAFV,,,,Gabon,,
,2007 Uganda,,,,,COD
,,,,,Congo,
BDBV,2012 COD,,,,1995,
,,,,,,2007 2008
,,2014 Guinea -> 2014 epidemic in Western Africa,,,,
,2007 COD,,,,,
EBOV,,,,,,
,2008 COD,,,,Angola,
,2002 Gabon,,,,,
Marburgvirus,1976 Zaire (currently COD),,,,,
,1995 Zaire (currently COD),,,,,
MARV   Marburg virus,,,,,,
,2014 COD,,,,,
"RAVV 
Ravn virus",,,,,,Zimbabwe
,1996 Gabon,,,,,
,,COD,,,,
Cuevavirus,1994 Gabon,,,,,
"LLOV 
Lloviu virus",1996 Gabon,,,,,
,0.01,,,,,
Ebolavirus,,,,,,
"SUDV 
Sudan virus",,,,,,
"RESTV 
Reston virus",,,,,,
"TAFV 
Taï Forest virus",,,,,,
"BDBV 
Bundibugyo virus",,,,,,
"EBOV 
Zaire ebola Virus",,,,,,
,,,,Marburgvirus,,
