0,1,2
32,,Journal of Pathogens
,Table 6: Human homologues of Norwalk virus proteins.,
Dopamine metabolisers,Amine transporters,Others
AOC2 amine oxidases,,
AOC3“”,,
KDM1A amine oxidase demethylase,,
KDM1B“”,,
,SLC6A2 (Noradrenaline),
MAOA monoamine oxidase,,
,SLC6A3 (Dopamine),CADPS2 amine release activator
MAOB“”,,
,SLC18A1vesicular monoamine,CDCA7 cell division cycle associated 7
RNLS renalase amine oxidase,,
,SLC18A2“”,CDCA7L
SMOX spermine oxidase,,
,SLC22A2 organic cation,IL4I1 cytokine
SPR sepiapterin reductase,,
,SLC22A3 extraneuronal monoamine,PICK1 postsynaptic scaﬀold
Monoamine synthesis cofactor,,
,SLC29A4 (Na+/H+),
SULT1A1 sulphotransferases,,
SULT1A3 monoamine metabolite,,
sulphation,,
SULT1A4,,
