0,1,2,3,4,5,6
0.1,,,,,,
0,,,,,,
,2kbp,4kbp,6kbp,8kbp,10kbp,12kbp
IDN/CDC739/06,,IDN/5/05,IDN/CDC836/06,,Ck/Magetan/BBVW/05,IDN/CDC836/06
IDN/CDC940/06,,Ck/Magetan/BBVW/05,IDN/CDC940/06,,Ck/Gunung Kidal/BBVW/05,IDN/CDC940/06
IDN/CDC759/06,,Ck/Gunung Kidal/BBVW/05,IDN/CDC759/06,,IDN/5/05,IDN/CDC835/06
IDN/CDC836/06,,Ck/Deli Serdang/BPPVI/05,IDN/CDC669/06,,Ck/Dairi/BPPVI/05,IDN/CDC739/06
IDN/CDC669/06,,Ck/Tarutung/BPPVI/05,IDN/CDC739/06,,Ck/Deli Serdang/BPPVI/05,IDN/CDC669/06
IDN/CDC835/06,,Ck/Dairi/BPPVI/05,IDN/CDC835/06,,Ck/Tarutung/BPPVI/05,IDN/CDC759/06
IDN/CDC699/06,,Ck/Simalanggang/BPPVI/05,IDN/CDC699/06,,Ck/Simalanggang/BPPVI/05,IDN/CDC938/06
IDN/CDC523/06,,IDN/CDC597/06,IDN/CDC523/06,,IDN/CDC594/06,IDN/CDC523/06
IDN/CDC887/06,,IDN/CDC594/06,IDN/CDC887/06,,IDN/CDC595/06,IDN/CDC699/06
IDN/CDC938/06,,IDN/CDC596/06,IDN/CDC938/06,,IDN/CDC597/06,IDN/CDC887/06
IDN/5/05,,IDN/CDC595/06,IDN/5/05,,IDN/CDC596/06,IDN/5/05
Ck/Magetan/BBVW/05,,IDN/CDC887/06,Ck/Magetan/BBVW/05,,IDN/CDC523/06,Ck/Magetan/BBVW/05
Ck/Gunung Kidal/BBVW/05,,IDN/CDC938/06,Ck/Gunung Kidal/BBVW/05,,IDN/CDC887/06,Ck/Gunung Kidal/BBVW/05
Ck/Simalanggang/BPPVI/05,,IDN/CDC523/06,Ck/Deli Serdang/BPPVI/05,,IDN/CDC938/06,Ck/Deli Serdang/BPPVI/05
Ck/Dairi/BPPVI/05,,IDN/CDC699/06,Ck/Tarutung/BPPVI/05,,IDN/CDC836/06,Ck/Tarutung/BPPVI/05
